ds,yhat,yhat_lower,yhat_upper
2019-01-01,189166.91776810764,131431.69409919504,248118.29448704075
2019-01-02,126112.13933266269,65423.36077574955,180996.12721101436
2019-01-03,131665.30198598662,69691.79359763785,190018.3429946123
2019-01-04,127925.18030819348,67374.8351556021,191746.38432018243
2019-01-05,149850.4134029336,87533.61888284326,205209.6009423063
2019-01-06,187932.39284902075,133392.40483667603,247663.96034601727
2019-01-07,198228.22400156243,137407.9540347445,253336.14835303108
2019-01-08,129492.67139606857,74605.60791508797,185397.18547593427
2019-01-09,70533.48709787728,8277.618823715862,129278.37461500478
2019-01-10,80751.81238452105,27363.548829191408,142925.5362530513
2019-01-11,81946.79875110857,21988.80385328933,139381.2130676702
2019-01-12,109072.22857489296,53444.76136144394,168968.33820660386
2019-01-13,152497.78579785608,92066.52495119399,210810.32384165213
2019-01-14,168070.54165596323,111755.30017999519,224786.77830380286
2019-01-15,104320.14226076617,47830.32199912405,164872.78256779298
2019-01-16,50202.394488635546,-5539.490204835618,107519.7579389365
2019-01-17,65196.32024702534,7365.694698378844,122511.24797972986
2019-01-18,70826.78639399874,14854.651699508313,132399.0064447457
2019-01-19,102079.88465405464,42627.07592619253,162154.12951849136
2019-01-20,149251.51350689554,88958.79845290497,208182.49117647472
2019-01-21,168036.0931983383,107143.29784448245,227433.17717601612
2019-01-22,106803.5099236211,47497.887013021296,167168.39284771605
2019-01-23,54729.320581079635,-1875.1180711694303,119209.25706402889
2019-01-24,71446.70835857357,11355.28347685205,130797.41814592044
2019-01-25,78285.30037775837,21136.07286323909,138986.00771452466
2019-01-26,110343.45961675319,50732.71178951706,169248.9413685464
2019-01-27,157922.3483391697,102554.8400297135,219913.230398328
2019-01-28,176640.103253896,122772.13129502899,241909.41237477332
2019-01-29,114778.86819428309,55687.605332051666,174845.16610858828
2019-01-30,61800.08806061027,1185.7928081918844,120479.40742956275
2019-01-31,77550.00882202918,17865.854903831885,136248.8428640453
2019-02-01,83213.52752528727,27415.614375410656,144245.20817008617
2019-02-02,114042.46492414988,52102.30848971844,173203.8658806231
2019-02-03,160374.42283605336,101677.08137431927,216366.8581280149
2019-02-04,177771.9856448473,120401.79885093332,239432.72608081804
2019-02-05,114439.66718141377,55242.54736250859,174743.87971489842
2019-02-06,60124.377799989656,-1099.236776109553,121230.15768632398
2019-02-07,74874.8036944276,18017.506345520487,130014.81623459286
2019-02-08,79710.86103290429,20393.157815149272,140307.38014585862
2019-02-09,110008.73923266493,48001.978364629635,169878.7023477066
2019-02-10,156105.5361864447,96115.39992244044,212726.74466368856
2019-02-11,173464.63573067443,114822.83820385387,228518.35000380804
2019-02-12,110163.85209853505,51148.985712789516,174676.0424575626
2019-02-13,56182.452726804375,-1273.30614562796,111554.46945611
2019-02-14,71715.86243293656,12783.286630572582,131541.14526643258
2019-02-15,77562.19308842639,20911.86287245145,137731.75250094448
2019-02-16,109165.51788879203,49264.31746129828,168603.5289751112
2019-02-17,156807.69787105097,99057.81687957127,216094.15917900857
2019-02-18,175801.26795046634,112932.73541513772,231836.6405131701
2019-02-19,114049.99944279584,56333.1942558508,173692.55873251148
2019-02-20,61723.559663364875,538.8078417709851,118718.91567117692
2019-02-21,79128.45871987613,22999.020179458388,138971.55148125495
2019-02-22,86812.39031264003,23556.14254515735,145539.2445038008
2019-02-23,120266.27682584745,65022.43413150639,180183.38505080753
2019-02-24,169703.62214213784,106258.36620605298,226708.95776472983
2019-02-25,190281.0333536889,127310.20699246506,250982.01206176056
2019-02-26,129731.12285010451,67525.72067859031,191900.68836093487
2019-02-27,78424.52730055428,16447.017221678758,138597.20178973663
2019-02-28,96796.63287759601,37864.88452287356,151555.277670383
2019-03-01,105169.09295069874,38469.573472085416,162882.98962733173
2019-03-02,139109.86010414117,80562.84088265107,201643.72190194292
2019-03-03,188799.15500292103,128719.4594317061,250369.1035422078
2019-03-04,209276.6138193574,150471.64442440472,270320.8557076426
2019-03-05,148145.44810454448,86111.96518132722,204297.68240222574
2019-03-06,96020.69907366263,31826.799656686013,158492.05297256552
2019-03-07,113510.6042813495,55274.01810536279,176231.0657481717
2019-03-08,120754.17155423203,61058.53464761963,182875.85235885493
2019-03-09,153438.1215784862,94137.53114195238,211642.95904807386
2019-03-10,201748.46685018827,138913.9301606504,261512.56884754743
